env/completion_counter,eval/mean_reward,env/current_idx,eval/mean_ep_length,time/total_timesteps,env/n_steps,eval/success_rate,time/fps,rollout/success_rate,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_range,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/explained_variance,train/loss,train/value_loss,train/approx_kl
0,-0.009247835366986692,12878,1.24,27300,27300,0.98,,,,,,,0.2,0.08153409093618393,-0.37866572380065916,-0.01586086533498019,450,0.001,0.2580922842025757,-0.011272836476564407,0.1357671383023262,0.03231786
,,,,27300,,,0,0.87,91,41292,1.8,-0.17541816000000002,,,,,,,,,,
0,-0.07043256383389235,13043,1.3,27600,27600,0.94,,,,,,,0.2,0.0754545459151268,-0.36660048365592957,-0.015033435812219977,455,0.001,0.17512494325637817,0.05503733456134796,0.1554253727197647,0.022840615
,,,,27600,,,0,0.86,92,41718,1.82,-0.15345189999999997,,,,,,,,,,
0,-0.032243028529919684,13187,1.28,27900,27900,0.98,,,,,,,0.2,0.0948295459151268,-0.33486824452877045,-0.012412798693403601,460,0.001,0.1545313000679016,0.031019946560263634,0.14796220421791076,0.029770117
,,,,27900,,,0,0.84,93,42154,1.99,-0.18939635,,,,,,,,,,
0,-0.0929883746849373,13353,1.44,28200,28200,0.92,,,,,,,0.2,0.0669318187236786,-0.3302340281009674,-0.015998478645924477,465,0.001,0.1670459508895874,0.03659931942820549,0.16744431406259536,0.0154558
,,,,28200,,,0,0.87,94,42587,1.79,-0.17356244000000004,,,,,,,,,,
0,-0.07812441892921924,13494,1.48,28500,28500,0.92,,,,,,,0.2,0.06403409123420715,-0.38503364503383636,-0.014173162952065468,470,0.001,0.2324926257133484,0.028729291632771492,0.159023699760437,0.014698006
,,,,28500,,,0,0.82,95,43035,2.13,-0.21553217999999996,,,,,,,,,,
0,-0.049415279934182765,13643,1.26,28800,28800,0.94,,,,,,,0.2,0.10738636404275895,-0.3213884514570236,-0.016141020506620408,475,0.001,0.24019575119018555,0.027165289968252182,0.1610514083504677,0.025537368
,,,,28800,,,0,0.83,96,43462,2.06,-0.19645696000000004,,,,,,,,,,
