time/total_timesteps,env/n_steps,time/iterations,env/completion_counter,rollout/ep_len_mean,env/current_idx,time/fps,time/time_elapsed,rollout/success_rate,rollout/ep_rew_mean,train/clip_fraction,train/value_loss,train/n_updates,train/entropy_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/loss,train/clip_range,eval/success_rate,eval/mean_reward,eval/mean_ep_length
2910,2910,97,0,1.37,2186,0,3446,0.91,-0.09345772000000002,0.46200001060962675,0.10817917775828391,4800,-0.20064832538366317,0.001,1.0516884,0.13958096504211426,-0.10891809465301533,-0.13889971375465393,0.2,,,
2940,2940,98,0,1.41,2208,0,3479,0.9,-0.0949272,0.320666673630476,0.05789293037843891,4850,-0.23735372126102447,0.001,0.4693665,-0.6775381565093994,-0.07407128375768661,-0.09388859570026398,0.2,,,
2970,2970,99,0,1.35,2232,0,3511,0.91,-0.09490381999999999,0.21133333519101144,0.005562834424199537,4900,-0.09808051183819771,0.001,1.4545814,0.6146765351295471,-0.06377091112732884,-0.06764838844537735,0.2,,,
3000,3000,,0,,2255,,,,,0.13000000670552253,0.04056076488748658,4950,-0.04727924607694149,0.001,0.22662085,-0.10672450065612793,-0.012873124452307821,-0.013703837059438229,0.2,0.93,-0.07571994931437075,1.31
3000,,100,,1.34,,0,3723,0.91,-0.09520909999999998,,,,,,,,,,,,,
3030,3030,101,0,1.33,2276,0,3757,0.92,-0.0828301,0.15466666981577873,0.061064544841647146,5000,-0.037122494019567964,0.001,0.7520102,-0.04098308086395264,-0.053564760487837086,-0.0761730894446373,0.2,,,
3060,3060,102,0,1.31,2299,0,3792,0.93,-0.08201498000000002,0.2673333437740803,0.12219945326447487,5050,-0.18060062870383262,0.001,1.2843443,0.0027472972869873047,-0.07865689889093247,-0.0701286792755127,0.2,,,
3090,3090,103,0,1.24,2328,0,3841,0.94,-0.07015161,0.17800000354647635,0.024728687768802046,5100,-0.11964255139231682,0.001,0.074746065,0.5170379877090454,-0.04666025533465049,-0.05828814581036568,0.2,,,
3120,3120,104,0,1.28,2351,0,3872,0.94,-0.0717198,0.3866666741669178,0.006452951733372174,5150,-0.18845624148845672,0.001,0.85087657,-7800.4267578125,-0.02994054158094027,-0.04100768268108368,0.2,,,
3150,3150,105,0,1.27,2370,0,3906,0.95,-0.06185174,0.24666667319834232,0.09705473203212023,5200,-0.09627892792224885,0.001,0.6249073,-0.007974624633789062,-0.049700232096637285,-0.08006373792886734,0.2,,,
3180,3180,106,0,1.3,2390,0,3939,0.94,-0.07196397,0.37800000548362733,0.04983116940013133,5250,-0.21230925649404525,0.001,0.46603766,-0.20389795303344727,-0.09537792609632016,-0.10830762982368469,0.2,,,
3210,3210,107,0,1.45,2404,0,3972,0.9,-0.11405835,0.27733334377408025,0.022156625654315577,5300,-0.11935681268572808,0.001,1.5373733,0.1414088010787964,-0.07110470094780127,-0.0885041132569313,0.2,,,
3240,3240,108,0,1.45,2430,0,4009,0.9,-0.11418689,0.36066667035222055,0.11339530557394027,5350,-0.3454018418490887,0.001,0.28733477,-0.39702677726745605,-0.07062728894626105,-0.08626730740070343,0.2,,,
3270,3270,109,0,1.39,2454,0,4050,0.91,-0.09197954000000001,0.4653333392739296,0.015924852153984828,5400,-0.27324514895677565,0.001,0.51817733,-11.769669532775879,-0.08796828540662929,-0.1073981374502182,0.2,,,
3300,3300,110,0,1.41,2476,0,4083,0.89,-0.10211791000000002,0.4753333535790443,0.0688216336723417,5450,-0.26168215066194533,0.001,0.39126846,-0.18781208992004395,-0.0858146427286168,-0.0934186652302742,0.2,,,
3330,3330,111,0,1.32,2495,0,4123,0.92,-0.07084895000000001,0.322000008970499,0.14381164610385894,5500,-0.10386253643780946,0.001,0.6607669,-0.00922691822052002,-0.06217515983432534,-0.020280390977859497,0.2,,,
3360,3360,112,0,1.34,2516,0,4160,0.9,-0.09255018,0.5153333495557308,0.10986367910169065,5550,-0.378867095708847,0.001,3.3926926,0.007749080657958984,-0.09625887628148,-0.11386483162641525,0.2,,,
3390,3390,113,0,1.47,2533,0,4194,0.88,-0.11459019,0.33933334082365035,0.05912067444063723,5600,-0.14085102558135987,0.001,0.9722593,-0.15407955646514893,-0.09954800389707089,-0.10687633603811264,0.2,,,
